Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
-10,52,0.034753692,0.302724369,0.662521939
-10,53,0.034243504,0.3103685,0.655387996
-10,54,0.033628555,0.319878359,0.646493086
-10,55,0.038670921,0.33785548,0.623473599
-9,52,0.032689546,0.296451534,0.67085892
-9,53,0.031576293,0.307060154,0.661363553
-9,54,0.032510333,0.320372239,0.647117428
-9,55,0.035368944,0.333185407,0.631445649
-8,53,0.029798383,0.309875142,0.660326475
-8,54,0.031970357,0.325002441,0.643027202
-8,55,0.033124002,0.335684937,0.631191061
-8,56,0.035390376,0.324006942,0.640602683
-7,53,0.027814837,0.307624185,0.664560979
-7,54,0.028076191,0.316850724,0.655073085
-7,55,0.029997044,0.330412677,0.63959028
-7,56,0.03245132,0.31927453,0.64827415
-7,58,0.037574312,0.267084667,0.695341021
-7,59,0.039485874,0.243124244,0.717389882
-6,51,0.02629791,0.275950143,0.697751948
-6,55,0.029272649,0.327988559,0.642738792
-6,56,0.034030438,0.30914618,0.656823382
-6,57,0.038306598,0.28537616,0.676317243
-6,58,0.038201569,0.266820548,0.694977883
-6,59,0.038804893,0.242247232,0.718947876
-5,49,0.032741262,0.260942937,0.706315801
-5,51,0.027894354,0.27627134,0.695834306
-5,52,0.026393049,0.291163491,0.68244346
-5,53,0.028251693,0.32084945,0.650898857
-5,54,0.029034289,0.335301067,0.635664644
-5,55,0.027935761,0.309960728,0.662103511
-5,56,0.037034467,0.305100345,0.657865188
-5,57,0.14667693,0.343723755,0.509599315
-5,58,0.038941504,0.261926142,0.699132355
-5,59,0.038212384,0.238823278,0.722964338
-4,48,0.041416095,0.255418524,0.703165381
-4,49,0.033580262,0.258123426,0.708296312
-4,51,0.030052363,0.272011847,0.69793579
-4,52,0.030440308,0.286221851,0.683337842
-4,53,0.028396401,0.317854754,0.653748845
-4,54,0.029880567,0.337846162,0.632273271
-4,55,0.036858434,0.346277474,0.616864092
-4,56,0.035524741,0.312309797,0.652165461
-4,57,0.038563196,0.291784856,0.669651949
-4,58,0.037413688,0.270448956,0.692137356
-4,59,0.039874502,0.246177094,0.713948404
-3,48,0.047729646,0.265567036,0.686703318
-3,49,0.036562905,0.262635717,0.700801378
-3,51,0.029814041,0.28126594,0.68892002
-3,52,0.027961569,0.295129747,0.676908684
-3,53,0.028585793,0.318031205,0.653383002
-3,54,0.033651061,0.33912235,0.62722659
-3,55,0.036117145,0.354146992,0.609735863
-3,56,0.031844203,0.329093724,0.639062074
-3,57,0.034340874,0.306018055,0.659641071
-3,58,0.035344471,0.279170769,0.68548476
-2,45,0.087940868,0.281205887,0.630853245
-2,47,0.07262705,0.282437413,0.644935538
-2,48,0.056790378,0.27502857,0.668181053
-2,49,0.041836919,0.272827008,0.685336074
-2,50,0.034463339,0.28151305,0.684023611
-2,51,0.032976911,0.30005986,0.666963229
-2,52,0.02967663,0.311741843,0.658581527
-2,53,0.030146429,0.329174514,0.640679058
-2,54,0.031931347,0.349993748,0.618074905
-2,55,0.031766456,0.356660502,0.611573042
-2,56,0.034870401,0.353628189,0.61150141
-1,45,0.127380392,0.301897497,0.570722111
-1,46,0.106088232,0.287907598,0.60600417
-1,47,0.086557197,0.286631288,0.626811515
-1,48,0.068011635,0.277858564,0.654129801
-1,49,0.048101085,0.28001586,0.671883056
-1,50,0.036985499,0.285580449,0.677434052
-1,51,0.034242709,0.308060897,0.657696394
-1,52,0.031086776,0.330113014,0.63880021
-1,53,0.029453695,0.348835114,0.621711192
-1,54,0.028858341,0.35863178,0.612509879
-1,55,0.030305772,0.358870025,0.610824203
0,45,0.165145596,0.300870345,0.533984058
0,46,0.14142032,0.300376424,0.558203256
0,47,0.106032961,0.295933067,0.598033972
0,48,0.080063804,0.286780843,0.633155353
0,49,0.056832244,0.288047815,0.655119942
0,50,0.04055147,0.295902871,0.66354566
0,51,0.035595513,0.321662707,0.64274178
0,52,0.03227356,0.351599195,0.616127246
0,53,0.031283281,0.386353614,0.582363106
0,54,0.028966272,0.378824432,0.592209296
1,45,0.234739465,0.300994041,0.464266493
1,46,0.244862574,0.313322189,0.441815237
