Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
-10,52,0.039645318,0.164315887,0.796038795
-10,53,0.043769145,0.16478251,0.791448345
-10,54,0.043502728,0.15848993,0.798007342
-10,55,0.041914249,0.150097208,0.807988543
-9,52,0.045178673,0.162027322,0.792794005
-9,53,0.042934439,0.158023368,0.799042194
-9,54,0.04229306,0.152096156,0.805610783
-9,55,0.042059337,0.148156013,0.809784651
-8,53,0.042794192,0.151877455,0.805328354
-8,54,0.041964028,0.144361933,0.81367404
-8,55,0.040435923,0.146253752,0.813310326
-8,56,0.039012875,0.138560521,0.822426604
-7,53,0.042292722,0.147116962,0.810590316
-7,54,0.040893721,0.144587815,0.814518465
-7,55,0.039635583,0.146876788,0.813487629
-7,56,0.037822702,0.138507764,0.823669534
-7,58,0.034217784,0.11362643,0.852155787
-7,59,0.033194606,0.109682502,0.857122892
-6,55,0.037678196,0.138077873,0.824243931
-6,56,0.037408065,0.127901808,0.834690127
-6,57,0.035635566,0.118268332,0.846096102
-6,58,0.036565503,0.119440882,0.843993615
-6,59,0.034503914,0.116953076,0.84854301
-5,51,0.048754843,0.154941801,0.796303357
-5,52,0.044511006,0.145188964,0.81030003
-5,55,0.035869867,0.125290963,0.83883917
-5,56,0.035082725,0.11561126,0.849306015
-5,57,0.146033459,0.145223931,0.70874261
-5,58,0.036314514,0.120951848,0.842733638
-5,59,0.034715906,0.119491133,0.845792961
-4,48,0.060080757,0.181930053,0.75798919
-4,49,0.057237785,0.179190546,0.763571669
-4,51,0.050524621,0.152650918,0.796824462
-4,52,0.046705346,0.137315883,0.815978771
-4,53,0.042676396,0.134216693,0.823106911
-4,54,0.039157624,0.126861716,0.83398066
-4,55,0.03713669,0.118146332,0.844716978
-4,56,0.034749882,0.113667272,0.851582846
-4,57,0.035035375,0.115258205,0.84970642
-4,58,0.036864009,0.12403043,0.839105561
-4,59,0.034951668,0.119006374,0.846041958
-3,48,0.060464526,0.186672938,0.752862536
-3,49,0.057159681,0.184489842,0.758350476
-3,51,0.05294597,0.166186819,0.780867211
-3,52,0.046592811,0.147978582,0.805428607
-3,53,0.040996509,0.131908428,0.827095064
-3,54,0.037301294,0.115818736,0.84687997
-3,55,0.036552679,0.11519895,0.84824837
-3,56,0.03452903,0.118164744,0.847306226
-3,57,0.034549249,0.119995261,0.845455491
-3,58,0.03542847,0.12660761,0.837963919
-2,47,0.06210054,0.190985033,0.746914428
-2,48,0.061289818,0.190134303,0.748575879
-2,49,0.060094696,0.19207972,0.747825584
-2,50,0.058681598,0.190218787,0.751099615
-2,51,0.058547378,0.181897268,0.759555354
-2,52,0.048692108,0.158188437,0.793119455
-2,53,0.042427497,0.137114089,0.820458414
-2,54,0.038416613,0.123004367,0.83857902
-2,55,0.03527901,0.119527934,0.845193056
-2,56,0.034791746,0.120033641,0.845174613
-1,45,0.067761757,0.192626687,0.739611557
-1,46,0.061409999,0.187656712,0.75093329
-1,47,0.061287567,0.189007825,0.749704609
-1,48,0.061092015,0.186030855,0.75287713
-1,49,0.061243504,0.193190626,0.74556587
-1,50,0.058491341,0.191826273,0.749682386
-1,51,0.057208621,0.181586474,0.761204905
-1,52,0.051626443,0.164594606,0.783778951
-1,53,0.033045816,0.1374633,0.829490884
-1,54,0.036975699,0.129947678,0.833076623
-1,55,0.03497363,0.121756427,0.843269943
0,45,0.060419782,0.180118621,0.759461597
0,46,0.062049375,0.183347945,0.75460268
0,47,0.060478402,0.185421073,0.754100525
0,48,0.061012623,0.183562664,0.755424713
0,49,0.08246529,0.198261584,0.719273127
0,50,0.058537969,0.189904974,0.751557057
0,51,0.055675088,0.18039155,0.763933362
0,52,0.050433553,0.165992839,0.783573609
0,53,0.038283001,0.1465091,0.815207899
0,54,0.037761395,0.136227734,0.826010871
1,45,0.06051449,0.164220209,0.775265302
1,46,0.093048651,0.185060205,0.721891144
1,47,0.080899136,0.189181399,0.729919466
1,48,0.05789048,0.179297142,0.762812378
1,49,0.082856102,0.192850684,0.724293214
1,50,0.057469837,0.185620776,0.756909387
1,51,0.055104996,0.18077215,0.764122854
1,52,0.048771567,0.167659345,0.783569088
1,53,0.04303039,0.1542574,0.80271221
2,45,0.115038951,0.160280488,0.724680561
2,46,0.161407283,0.185894625,0.652698093
2,47,0.091321457,0.183954725,0.724723818
2,48,0.077859452,0.185109706,0.737030841
2,49,0.065236599,0.183684093,0.751079308
2,50,0.075526393,0.191075563,0.733398044
2,51,0.074720483,0.190543685,0.734735833
3,45,0.182533049,0.157423659,0.660043292
3,46,0.109143114,0.168026985,0.722829901
3,47,0.108696559,0.176421131,0.71488231
3,48,0.100565495,0.186425663,0.713008842
3,49,0.095598119,0.193508232,0.710893649
3,50,0.101674299,0.200343999,0.697981702
3,51,0.09430654,0.199040511,0.706652949
3,52,0.079454493,0.188696273,0.731849234
4,45,0.070439168,0.13707145,0.792489382
4,46,0.115662238,0.159110906,0.725226856
4,47,0.110208642,0.164143244,0.725648114
4,48,0.111134243,0.184070752,0.704795005
4,49,0.113187928,0.196836411,0.689975661
4,50,0.114469247,0.203258353,0.682272401
4,51,0.101665873,0.204375247,0.69395888
4,52,0.086834997,0.19528741,0.717877594
5,45,0.221676673,0.146294662,0.632028665
5,46,0.115257848,0.148798928,0.735943223
5,47,0.210024444,0.171502999,0.618472557
5,48,0.116468505,0.181154452,0.702377043
5,49,0.133696076,0.200430685,0.665873238
5,50,0.127860396,0.207487314,0.66465229
5,51,0.111678664,0.211758574,0.676562763
5,52,0.090127715,0.199684559,0.710187726
5,53,0.078830478,0.190035355,0.731134167
5,54,0.060560254,0.175997135,0.763442611
5,61,0.161839904,0.183186563,0.654973533
